time_s,ue_id,imsi,serving_cell,x_m,y_m,z_m,dl_throughput_mbps,handover_count,rsrp_dbm_cell_1,rsrp_dbm_cell_2,rsrp_dbm_cell_3,rsrp_dbm_cell_4,rsrp_dbm_cell_5,rsrp_dbm_cell_6,rsrp_dbm_cell_7,load_cell_1,load_cell_2,load_cell_3,load_cell_4,load_cell_5,load_cell_6,load_cell_7,ue_count_cell_1,ue_count_cell_2,ue_count_cell_3,ue_count_cell_4,ue_count_cell_5,ue_count_cell_6,ue_count_cell_7
1.000,0,1,6,235.806,920.688,0.000,0.221,0,-84.278,-84.405,-73.223,-82.879,-64.165,-62.501,-82.410,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,1,2,1,-166.493,239.996,0.000,0.074,0,-65.089,-79.485,-65.986,-88.016,-85.283,-81.014,-71.087,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,2,3,5,496.857,748.412,0.000,0.238,0,-83.358,-80.381,-75.524,-75.688,-62.682,-75.566,-85.547,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,3,4,3,-31.957,326.646,0.000,0.385,0,-66.975,-77.424,-56.990,-85.848,-82.612,-78.676,-73.782,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,4,5,2,899.065,-145.120,0.000,0.262,0,-83.581,-71.154,-86.760,-78.157,-88.254,-91.237,-92.161,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,5,6,1,194.678,-92.288,0.000,0.238,0,-60.190,-66.513,-77.404,-85.102,-87.161,-86.803,-83.621,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,6,7,5,902.921,1392.775,0.000,0.131,0,-93.377,-91.170,-89.005,-83.353,-75.733,-84.855,-93.407,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,7,8,5,253.561,1014.522,0.000,0.082,0,-85.837,-85.810,-76.046,-83.508,-62.376,-62.833,-83.613,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,8,9,1,-289.412,-122.665,0.000,0.213,0,-66.276,-81.445,-78.977,-90.966,-90.273,-87.520,-78.265,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,9,10,6,-400.090,908.807,0.000,0.074,0,-84.992,-89.124,-76.001,-91.267,-83.474,-70.598,-71.008,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,10,11,1,-1.927,97.749,0.000,0.401,0,-47.866,-74.176,-70.275,-86.358,-85.629,-83.429,-77.836,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,11,12,2,821.224,-96.377,0.000,0.385,0,-82.006,-67.325,-85.349,-77.381,-87.281,-90.243,-91.166,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,12,13,7,-700.596,-130.142,0.000,0.041,0,-79.581,-88.186,-84.138,-94.823,-93.269,-89.757,-78.364,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,13,14,5,313.838,1382.006,0.000,0.082,0,-90.797,-90.534,-84.031,-86.920,-71.166,-73.627,-88.084,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,14,15,5,1072.865,1291.850,0.000,0.066,0,-93.567,-90.751,-89.803,-81.369,-77.905,-86.837,-94.342,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,15,16,4,1095.426,92.350,0.000,0.025,0,-86.652,-76.848,-87.653,-70.924,-86.446,-90.860,-93.247,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,16,17,2,313.927,-92.767,0.000,0.385,0,-66.933,-59.621,-78.595,-83.509,-86.788,-87.202,-85.220,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,17,18,3,400.688,481.529,0.000,0.016,0,-77.481,-73.537,-70.228,-76.768,-74.694,-78.214,-83.404,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
1.000,18,19,7,-502.365,913.792,0.000,0.139,0,-85.791,-90.081,-78.104,-92.347,-85.206,-74.124,-70.734,0.018,0.014,0.005,0.006,0.010,0.005,0.006,5,3,2,2,6,3,4
