lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
28.176,83.959,429,2,40831,2925314,0,3366,1,1,LTE,0,0,40831,0,0,0
28.185,83.951,429,2,40831,2925313,0,1000,1,1,LTE,0,0,40831,0,0,0
28.186,83.956,429,2,40831,2921730,0,3414,1,1,LTE,0,0,40831,0,0,0
28.186,83.952,429,2,40802,2925313,0,1000,1,1,LTE,0,0,40802,0,0,0
28.17,83.975,429,2,40802,2704389,0,2718,1,1,LTE,0,0,40802,0,0,0
28.171,83.978,429,2,40802,3141397,0,1572,1,1,LTE,0,0,40802,0,0,0
28.171,83.977,429,2,40833,3141383,0,2225,1,1,LTE,0,0,40833,0,0,0
28.171,83.974,429,2,40802,2912535,0,1000,1,1,LTE,0,0,40802,0,0,0
28.172,83.981,429,2,40802,3302920,0,1000,1,1,LTE,0,0,40802,0,0,0
28.172,83.984,429,2,40833,3302914,0,1719,1,1,LTE,0,0,40833,0,0,0
28.172,83.975,429,2,40802,2626313,0,1000,1,1,LTE,0,0,40802,0,0,0
28.173,83.98,429,2,40802,3119126,0,1000,1,1,LTE,0,0,40802,0,0,0
28.175,83.974,429,2,40802,2626307,0,2103,1,1,LTE,0,0,40802,0,0,0
28.176,83.983,429,2,40801,2621192,0,2968,1,1,LTE,0,0,40801,0,0,0
28.176,83.97,429,2,40802,2628630,0,1000,1,1,LTE,0,0,40802,0,0,0
28.176,83.98,429,2,40833,3141377,0,3109,1,1,LTE,0,0,40833,0,0,0
28.177,83.979,429,2,40802,3141383,0,1843,1,1,LTE,0,0,40802,0,0,0
28.177,83.969,429,2,40802,3302146,0,1000,1,1,LTE,0,0,40802,0,0,0
28.178,83.969,429,2,40802,2704407,0,1587,1,1,LTE,0,0,40802,0,0,0
28.178,83.969,429,2,40802,2704387,0,1000,1,1,LTE,0,0,40802,0,0,0
28.178,83.97,429,2,40802,2704898,0,1000,1,1,LTE,0,0,40802,0,0,0
28.178,83.977,429,2,40802,3141377,0,2371,1,1,LTE,0,0,40802,0,0,0
28.179,83.977,429,2,40831,232057365,0,5040,1,1,LTE,0,0,40831,0,0,0
28.179,83.982,429,2,40845,3109889,0,7247,1,1,LTE,0,0,40845,0,0,0
28.18,83.983,429,2,40845,3109909,0,7257,1,1,LTE,0,0,40845,0,0,0
28.181,83.974,429,2,40802,3552513,0,2157,1,1,LTE,0,0,40802,0,0,0
28.182,83.974,429,2,40833,2704898,0,1602,1,1,LTE,0,0,40833,0,0,0
28.183,83.979,429,2,40802,232057345,0,1945,1,1,LTE,0,0,40802,0,0,0
28.183,83.972,429,2,40831,2626056,0,1000,1,1,LTE,0,0,40831,0,0,0
28.184,83.975,429,2,40833,2704904,0,1000,1,1,LTE,0,0,40833,0,0,0
28.184,83.976,429,2,40802,3141400,0,1241,1,1,LTE,0,0,40802,0,0,0
28.184,83.98,429,2,40833,2626313,0,1000,1,1,LTE,0,0,40833,0,0,0
28.186,83.977,429,2,40802,2630402,0,1937,1,1,LTE,0,0,40802,0,0,0
28.188,83.977,429,2,40833,2630402,0,1000,1,1,LTE,0,0,40833,0,0,0
28.188,83.967,429,2,40833,3302146,0,1000,1,1,LTE,0,0,40833,0,0,0
28.188,83.977,429,2,40833,2630408,0,1000,1,1,LTE,0,0,40833,0,0,0
28.188,83.968,429,2,40833,2704387,0,1000,1,1,LTE,0,0,40833,0,0,0
28.188,83.97,429,2,40831,232057345,0,7321,1,1,LTE,0,0,40831,0,0,0
28.173,83.995,429,2,40833,3302919,0,1000,1,1,LTE,0,0,40833,0,0,0
28.176,83.994,429,2,40801,2623254,0,3563,1,1,LTE,0,0,40801,0,0,0
28.178,83.991,429,2,40833,3302915,0,1000,1,1,LTE,0,0,40833,0,0,0
28.179,83.989,429,2,40801,3305218,0,3792,1,1,LTE,0,0,40801,0,0,0
28.182,83.993,429,2,40833,2626307,0,5262,1,1,LTE,0,0,40833,0,0,0
28.184,83.994,429,2,40833,2626305,0,1000,1,1,LTE,0,0,40833,0,0,0
28.185,83.985,429,2,40833,2626306,0,1000,1,1,LTE,0,0,40833,0,0,0
28.185,83.994,429,2,40845,3111192,0,1000,1,1,LTE,0,0,40845,0,0,0
28.188,83.993,429,2,40833,2629379,0,1000,1,1,LTE,0,0,40833,0,0,0
28.18,84.006,429,2,40833,3361288,0,1000,1,1,LTE,0,0,40833,0,0,0
28.182,84.016,429,2,40833,3523585,0,1000,1,1,LTE,0,0,40833,0,0,0
28.185,84.009,429,2,40833,2632194,0,1074,1,1,LTE,0,0,40833,0,0,0
28.185,84.008,429,2,40833,3360513,0,1000,1,1,LTE,0,0,40833,0,0,0
28.187,84.004,429,2,40833,3360515,0,1000,1,1,LTE,0,0,40833,0,0,0
28.187,84.003,429,2,40833,3523586,0,5988,1,1,LTE,0,0,40833,0,0,0
28.173,84.021,429,2,40833,2919682,0,3191,1,1,LTE,0,0,40833,0,0,0
28.176,84.029,429,2,40833,2702852,0,1000,1,1,LTE,0,0,40833,0,0,0
28.177,84.026,429,2,40833,2702855,0,6172,1,1,LTE,0,0,40833,0,0,0
28.178,84.025,429,2,40833,2702849,0,1000,1,1,LTE,0,0,40833,0,0,0
28.178,84.023,429,2,40836,3111433,0,1000,1,1,LTE,0,0,40836,0,0,0
28.179,84.022,429,2,40833,3361281,0,1000,1,1,LTE,0,0,40833,0,0,0
28.183,84.029,429,2,40833,2627842,0,1000,1,1,LTE,0,0,40833,0,0,0
28.192,83.939,429,2,40833,2925057,0,2542,1,1,LTE,0,0,40833,0,0,0
28.196,83.935,429,2,40802,3141379,0,1429,1,1,LTE,0,0,40802,0,0,0
28.196,83.931,429,2,40845,3124232,0,1000,1,1,LTE,0,0,40845,0,0,0
28.198,83.933,429,2,40831,2685186,0,4526,1,1,LTE,0,0,40831,0,0,0
28.201,83.934,429,2,40833,2705673,0,1000,1,1,LTE,0,0,40833,0,0,0
28.202,83.944,429,2,40845,3105301,0,4459,1,1,LTE,0,0,40845,0,0,0
28.205,83.935,429,2,40831,2702338,0,500,1,1,LTE,0,0,40831,0,0,0
28.188,83.953,429,2,40833,3141385,0,1305,1,1,LTE,0,0,40833,0,0,0
28.189,83.957,429,2,40833,2628098,0,1000,1,1,LTE,0,0,40833,0,0,0
28.19,83.958,429,2,40802,2628098,0,1000,1,1,LTE,0,0,40802,0,0,0
28.19,83.959,429,2,40802,2628118,0,1000,1,1,LTE,0,0,40802,0,0,0
