time_s,imsi,source_cell,target_cell,rnti,event
14.656,14,4,2,4,start
14.660,14,4,2,5,end_ok
15.256,10,4,5,3,start
15.260,10,4,5,5,end_ok
16.656,2,4,2,1,start
16.656,23,2,4,2,start
16.660,2,4,2,6,end_ok
16.660,23,2,4,9,end_ok
18.256,22,4,5,6,start
18.260,22,4,5,6,end_ok
19.056,9,7,6,9,start
19.056,11,2,4,1,start
19.060,11,2,4,10,end_ok
19.060,9,7,6,3,end_ok
20.656,5,7,3,10,start
20.660,5,7,3,1,end_ok
21.256,15,1,3,2,start
21.260,15,1,3,2,end_ok
21.656,4,6,3,2,start
21.660,4,6,3,3,end_ok
21.856,20,5,4,4,start
21.860,20,5,4,11,end_ok
22.856,21,7,6,8,start
22.860,21,7,6,4,end_ok
23.856,3,1,3,1,start
23.860,3,1,3,4,end_ok
24.456,8,5,4,2,start
24.460,8,5,4,12,end_ok
24.656,17,7,3,2,start
24.660,17,7,3,5,end_ok
26.256,16,6,3,1,start
26.260,16,6,3,6,end_ok
