time_s,ue_id,imsi,serving_cell,x_m,y_m,z_m,dl_throughput_mbps,handover_count,rsrp_dbm_cell_1,rsrp_dbm_cell_2,rsrp_dbm_cell_3,rsrp_dbm_cell_4,rsrp_dbm_cell_5,rsrp_dbm_cell_6,rsrp_dbm_cell_7,load_cell_1,load_cell_2,load_cell_3,load_cell_4,load_cell_5,load_cell_6,load_cell_7,ue_count_cell_1,ue_count_cell_2,ue_count_cell_3,ue_count_cell_4,ue_count_cell_5,ue_count_cell_6,ue_count_cell_7
1.000,0,1,7,-358.715,472.877,0.000,0.393,0,-76.603,-84.783,-68.462,-90.113,-85.231,-77.769,-53.787,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,1,2,1,-285.545,-77.349,0.000,0.377,0,-65.295,-81.249,-77.934,-90.706,-89.802,-86.877,-77.205,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,2,3,2,583.946,226.633,0.000,0.270,0,-77.480,-62.035,-77.951,-73.740,-81.011,-84.595,-86.926,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,3,4,4,1046.087,157.393,0.000,0.295,0,-86.025,-75.895,-86.674,-67.816,-85.174,-89.923,-92.610,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,4,5,5,426.525,686.829,0.000,0.131,0,-81.640,-79.074,-72.653,-76.864,-66.650,-74.733,-84.187,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,5,6,5,777.214,967.862,0.000,0.311,0,-88.634,-85.218,-83.518,-74.392,-64.353,-81.010,-90.128,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,6,7,4,1208.362,793.771,0.000,0.287,0,-91.123,-86.118,-88.664,-68.481,-80.147,-88.430,-94.085,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,7,8,5,1021.607,1074.799,0.000,0.082,0,-91.537,-88.010,-87.700,-76.092,-74.665,-85.500,-93.046,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,8,9,5,1234.879,1376.249,0.000,0.025,0,-95.139,-92.366,-91.878,-83.518,-81.981,-89.274,-95.954,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,9,10,3,136.723,272.963,0.000,0.254,0,-65.804,-72.255,-63.520,-83.255,-81.725,-80.192,-78.722,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,10,11,2,973.811,-138.905,0.000,0.131,0,-84.839,-73.606,-87.595,-77.816,-88.532,-91.708,-92.842,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,11,12,6,148.832,1148.304,0.000,0.025,0,-87.500,-88.093,-78.459,-86.210,-69.402,-59.789,-83.698,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,12,13,4,996.805,204.867,0.000,0.295,0,-85.393,-74.984,-85.741,-65.258,-84.056,-89.073,-92.001,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,13,14,3,-246.997,600.278,0.000,0.238,0,-78.061,-84.412,-63.614,-88.762,-82.403,-72.800,-63.947,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,14,15,1,-585.394,-163.353,0.000,0.098,0,-76.988,-86.627,-83.109,-93.945,-92.686,-89.418,-78.548,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,15,16,4,1330.834,525.071,0.000,0.385,0,-90.952,-84.825,-89.774,-67.151,-84.390,-90.749,-94.979,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,16,17,2,351.598,-273.446,0.000,0.180,0,-71.930,-66.110,-82.449,-85.258,-89.162,-89.651,-87.394,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,17,18,2,656.186,73.164,0.000,0.393,0,-78.338,-56.644,-81.113,-75.305,-84.096,-87.182,-88.518,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,18,19,7,-720.353,41.044,0.000,0.156,0,-79.784,-88.366,-82.535,-94.523,-92.281,-88.074,-74.105,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,19,20,6,100.082,973.385,0.000,0.401,0,-84.753,-85.940,-73.276,-85.380,-70.216,-48.729,-80.724,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,20,21,2,1185.741,-201.957,0.000,0.033,0,-88.121,-79.633,-90.339,-79.888,-90.408,-93.656,-94.935,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,21,22,7,-620.062,909.578,0.000,0.131,0,-86.675,-91.090,-80.265,-93.487,-87.010,-77.486,-71.237,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,22,23,5,1124.800,1260.498,0.000,0.066,0,-93.665,-90.678,-90.098,-80.859,-78.744,-87.453,-94.646,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,23,24,1,-177.137,6.970,0.000,0.377,0,-57.080,-78.750,-74.570,-89.087,-88.108,-85.249,-76.487,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
1.000,24,25,7,-552.734,10.666,0.000,0.115,0,-75.446,-85.947,-80.157,-93.061,-91.111,-87.149,-73.554,0.011,0.013,0.007,0.017,0.008,0.006,0.011,3,5,2,4,5,2,4
2.000,0,1,7,-371.098,462.181,0.000,0.819,0,-76.580,-84.879,-69.050,-90.264,-85.490,-78.169,-52.717,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,1,2,1,-282.305,-76.950,0.000,0.819,0,-65.118,-81.181,-77.889,-90.669,-89.774,-86.859,-77.225,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,2,3,2,576.514,216.443,0.000,0.532,0,-77.202,-61.209,-77.893,-74.122,-81.206,-84.657,-86.858,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
2.000,3,4,4,1043.976,159.476,0.000,0.614,0,-85.998,-75.854,-86.634,-67.706,-85.127,-89.887,-92.584,0.024,0.029,0.015,0.036,0.019,0.011,0.023,3,5,2,4,5,2,4
