lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
27.659,85.301,429,1,10404,26452482,0,1000,1,1,LTE,0,0,10404,0,0,0
27.652,85.318,429,1,10404,26464769,0,1000,1,1,LTE,0,0,10404,0,0,0
27.652,85.352,429,1,10424,26466562,0,1147,1,1,LTE,0,0,10424,0,0,0
27.652,85.351,429,1,10424,26466560,0,1095,1,1,LTE,0,0,10424,0,0,0
27.653,85.35,429,1,10424,345345,0,1000,1,1,LTE,0,0,10424,0,0,0
27.655,85.35,429,1,10424,348161,0,1000,1,1,LTE,0,0,10424,0,0,0
27.655,85.35,429,1,10424,410371,0,1000,1,1,LTE,0,0,10424,0,0,0
27.657,85.348,429,1,10424,391682,0,1000,1,1,LTE,0,0,10424,0,0,0
27.658,85.346,429,1,10424,391681,0,1000,1,1,LTE,0,0,10424,0,0,0
27.659,85.346,429,1,10424,356097,0,1000,1,1,LTE,0,0,10424,0,0,0
27.659,85.345,429,1,10424,488961,0,1000,1,1,LTE,0,0,10424,0,0,0
27.661,85.343,429,1,10424,349441,0,1000,1,1,LTE,0,0,10424,0,0,0
27.65,85.352,429,1,10424,355331,0,1000,1,1,LTE,0,0,10424,0,0,0
27.65,85.356,429,1,10424,350467,0,1000,1,1,LTE,0,0,10424,0,0,0
27.661,85.361,429,1,10403,377859,0,2824,1,1,LTE,0,0,10403,0,0,0
27.676,85.287,429,1,10418,434177,0,1000,1,1,LTE,0,0,10418,0,0,0
27.677,85.288,429,1,10418,301058,0,1000,1,1,LTE,0,0,10418,0,0,0
27.677,85.293,429,1,10417,389650,0,1000,1,1,LTE,0,0,10417,0,0,0
27.677,85.293,429,1,10417,425475,0,1000,1,1,LTE,0,0,10417,0,0,0
27.677,85.292,429,1,10418,359427,0,1000,1,1,LTE,0,0,10418,0,0,0
27.677,85.295,429,1,10407,359682,0,1000,1,1,LTE,0,0,10407,0,0,0
27.677,85.29,429,1,10417,389634,0,1000,1,1,LTE,0,0,10417,0,0,0
27.677,85.29,429,1,10417,389635,0,1000,1,1,LTE,0,0,10417,0,0,0
27.678,85.289,429,1,10417,389636,0,1000,1,1,LTE,0,0,10417,0,0,0
27.678,85.289,429,1,10417,389637,0,1000,1,1,LTE,0,0,10417,0,0,0
27.678,85.294,429,1,10418,359425,0,1000,1,1,LTE,0,0,10418,0,0,0
27.678,85.289,429,1,10417,389633,0,1000,1,1,LTE,0,0,10417,0,0,0
27.678,85.289,429,1,10417,389638,0,1000,1,1,LTE,0,0,10417,0,0,0
27.678,85.293,429,1,10418,359430,0,1000,1,1,LTE,0,0,10418,0,0,0
27.679,85.289,429,1,10417,389639,0,1000,1,1,LTE,0,0,10417,0,0,0
27.679,85.289,429,1,10417,389641,0,1000,1,1,LTE,0,0,10417,0,0,0
27.679,85.289,429,1,10417,389644,0,1000,1,1,LTE,0,0,10417,0,0,0
27.679,85.289,429,1,10417,389640,0,1000,1,1,LTE,0,0,10417,0,0,0
27.679,85.297,429,1,10407,359683,0,1000,1,1,LTE,0,0,10407,0,0,0
27.668,85.308,429,1,10405,339458,0,1000,1,1,LTE,0,0,10405,0,0,0
27.668,85.31,429,1,10405,26460417,0,1000,1,1,LTE,0,0,10405,0,0,0
27.67,85.305,429,1,10405,26451456,0,1000,1,1,LTE,0,0,10405,0,0,0
27.67,85.305,429,1,10405,339457,0,1000,1,1,LTE,0,0,10405,0,0,0
27.668,85.325,429,1,10415,350209,0,1000,1,1,LTE,0,0,10415,0,0,0
27.668,85.319,429,1,10405,26464000,0,1000,1,1,LTE,0,0,10405,0,0,0
27.668,85.321,429,1,10415,431105,0,1000,1,1,LTE,0,0,10415,0,0,0
27.668,85.319,429,1,10405,26461697,0,1000,1,1,LTE,0,0,10405,0,0,0
27.669,85.322,429,1,10405,26462210,0,1000,1,1,LTE,0,0,10405,0,0,0
27.67,85.322,429,1,10415,350210,0,1000,1,1,LTE,0,0,10415,0,0,0
27.668,85.335,429,1,10415,310018,0,1000,1,1,LTE,0,0,10415,0,0,0
27.669,85.352,429,2,40120,231748865,0,1000,1,1,LTE,0,0,40120,0,0,0
27.669,85.351,429,2,40116,231643648,0,1000,1,1,LTE,0,0,40116,0,0,0
27.669,85.336,429,1,10415,310021,0,1000,1,1,LTE,0,0,10415,0,0,0
